::1 - - [05/Nov/2024:23:10:47 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:10:48 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 929
::1 - - [05/Nov/2024:23:10:48 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:10:48 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/style.css HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:10:49 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 929
::1 - - [05/Nov/2024:23:10:49 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/style.css HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:10:49 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:11:17 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 929
::1 - - [05/Nov/2024:23:11:17 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:11:17 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/style.css HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:11:18 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 929
::1 - - [05/Nov/2024:23:11:18 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:11:18 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/style.css HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:11:29 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 929
::1 - - [05/Nov/2024:23:11:29 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/style.css HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:11:29 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:12:13 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 902
::1 - - [05/Nov/2024:23:12:13 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 200 921
::1 - - [05/Nov/2024:23:12:13 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:12:49 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 870
::1 - - [05/Nov/2024:23:12:49 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/css/styles.css HTTP/1.1" 304 -
::1 - - [05/Nov/2024:23:12:49 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/javascrpit/script.js HTTP/1.1" 404 196
::1 - - [05/Nov/2024:23:13:58 +1000] "GET /Web%20APP/OOP%20lessons/Lesson1/index.php HTTP/1.1" 200 874
