                                           0            status_code time_check
3            http://uitestingplayground.com/  Site is not available   22:05:04
9   http://uitestingplayground.com/textinput  Site is not available   22:05:07
13  http://uitestingplayground.com/loaddelay  Site is not available   22:05:09
